Date,Text_Score,Sentence_Score,Net_Score,Political_Contestent,News_Agency
5/7/2015,0.210526316,0.834615385,0.624089069,Hillary Clinton,New York Times
5/8/2015,0.82,0.084210526,0.735789474,Hillary Clinton,New York Times
5/13/2015,0.128205128,0.163194444,0.034989316,Hillary Clinton,New York Times
5/16/2015,0.444444444,0.236842105,0.207602339,Hillary Clinton,New York Times
5/20/2015,0.363636364,1,0.636363636,Hillary Clinton,New York Times
5/20/2015,0.461538462,0.958333333,0.496794872,Hillary Clinton,New York Times
5/20/2015,0.243902439,0.298888889,0.05498645,Hillary Clinton,New York Times
5/22/2015,-0.4,-0.066666667,-0.333333333,Hillary Clinton,New York Times
5/22/2015,0.230769231,-0.045454545,-0.276223776,Hillary Clinton,New York Times
5/23/2015,0.486486486,0.526315789,0.039829303,Hillary Clinton,New York Times
5/24/2015,0.931818182,0.705128205,0.226689977,Hillary Clinton,New York Times
5/28/2015,0.357142857,0.717948718,0.360805861,Hillary Clinton,New York Times
5/28/2015,0.5625,0.476190476,0.086309524,Hillary Clinton,New York Times
5/28/2015,1,0.553030303,0.446969697,Hillary Clinton,New York Times
6/5/2015,-0.739130435,-0.683333333,-0.055797101,Hillary Clinton,New York Times
6/5/2015,0.6,0.688888889,0.088888889,Hillary Clinton,New York Times
6/7/2015,0.462962963,0.722222222,0.259259259,Hillary Clinton,New York Times
6/12/2015,0.65,0.505952381,0.144047619,Hillary Clinton,New York Times
6/13/2015,0.170212766,0.49382716,0.323614395,Hillary Clinton,New York Times
6/14/2015,0.232142857,0.065217391,0.166925466,Hillary Clinton,New York Times
6/16/2015,0.265306122,0.756666667,0.491360544,Hillary Clinton,New York Times
6/17/2015,0.277777778,0.287878788,0.01010101,Hillary Clinton,New York Times
6/18/2015,0.422222222,0.523809524,0.101587302,Hillary Clinton,New York Times
6/21/2015,0.764705882,0.530208333,0.234497549,Hillary Clinton,New York Times
6/23/2015,-0.166666667,-0.2425,-0.075833333,Hillary Clinton,New York Times
6/24/2015,-0.575,-0.358333333,-0.216666667,Hillary Clinton,New York Times
6/26/2015,-0.375,-0.321428571,-0.053571429,Hillary Clinton,New York Times
6/30/2015,0.777777778,0.134920635,0.642857143,Hillary Clinton,New York Times
7/2/2015,-0.209302326,0.7,0.909302326,Hillary Clinton,New York Times
7/2/2015,1,0.716049383,0.283950617,Hillary Clinton,New York Times
7/5/2015,0.875,1.611111111,0.736111111,Hillary Clinton,New York Times
7/10/2015,0.673076923,0.447089947,0.225986976,Hillary Clinton,New York Times
7/12/2015,0.6,0.808333333,0.208333333,Hillary Clinton,New York Times
7/14/2015,-0.075471698,0.019875776,0.095347475,Hillary Clinton,New York Times
7/16/2015,0.840909091,0.656666667,0.184242424,Hillary Clinton,New York Times
